Part,Description,Qty,Price at Akizuki,Akizuki's PN,memo
"C1,C2,C3","Ceramic Capacitor, 0.1uF",3,10,P-04065,10個入り100円
"C6,C7","Ceramic Capacitor, 22pF",2,5,P-11137,
"CN1,CN2",1x6 pin socket,2,20,C-03784,
"CN3,CN4",1x8 pin socket,2,30,C-03785,
CN5,2x3 pin header,1,15,C-13635,2x5ピンを切って使う
"D1,D4","LED, 5mm, Green",2,10,I-12606,
D2,"LED, 5mm, Red",1,10,I-12605,
D3,"LED, 5mm, Yellow",1,10,I-12607,
Q1,2N7000,1,20,I-09723,
"R1,R2,R3,R4,R5,R6,R7",1k 1/4W,7,1,R-25102,100本入り100円
SW1,TactSW(黒),1,10,P-03647,色はお好みで
U2,ATmega328P,1,230,I-03142,BL書き込み済み：I-12774 (320円)
X1,"Xtal, 16MHz",1,30,P-08671,
,,,,,
U3,AE_FT232,1,800,K-06693,完成品：K-01977(950円)
,,,,,
U1,FT232RQ,1,380,I-04365,2個入り760円
C4,"Ceramic Capacitor, 0.1uF",1,10,P-04065,
C5,"Ceramic Capacitor, 1uF",1,20,P-08150,
R8,"PolySW, 0.5A",1,30,P-12628,
